Summary information
Application;lmp_intel_cpu_intelmpi
Report creation date;2022-04-21 16:14:57
OpenMP threads number, per Process;1
Used statistics;./in.rhodo.scaled.timer_1n_1ont_864k_aps
Elapsed Time, s;182.87
MPI Time, s;0.05
MPI Time, % of Elapsed Time;0.03
MPI Imbalance;                            N/A*

Top 5 MPI functions (avg time)
Name;Time,sec;% from Elapsed time
MPI Hotspot 1 - MPI_Init, s;0.04
MPI Hotspot 1 - MPI_Init, % of Elapsed Time;0.02
MPI Hotspot 2 - MPI_Finalize, s;0.01
MPI Hotspot 2 - MPI_Finalize, % of Elapsed Time;0.00
MPI Hotspot 3 - MPI_Alltoallv, s;0.01
MPI Hotspot 3 - MPI_Alltoallv, % of Elapsed Time;0.00
MPI Hotspot 4 - MPI_Allreduce, s;0.00
MPI Hotspot 4 - MPI_Allreduce, % of Elapsed Time;0.00
MPI Hotspot 5 - MPI_Comm_free, s;0.00
MPI Hotspot 5 - MPI_Comm_free, % of Elapsed Time;0.00
Disk I/O Bound, s;0.00
Memory Footprint
Resident,MB;       2815.00
Virtual,MB;      10169.00
| Counters, Memory and Disk usage statistics for all Ranks
Elapsed Time, s
  MIN;          182.87 ;Rank 0
  MAX;          182.87 ;Rank 0
  AVG;          182.87 ;

MPI Time, s
Total;            0.05 ;all ranks
  MIN;            0.05 ;Rank 0
  MAX;            0.05 ;Rank 0
  AVG;            0.05 ;

MPI Time, % of Elapsed Time
  MIN;            0.03 ;Rank 0
  MAX;            0.03 ;Rank 0
  AVG;            0.03 ;

MPI Imbalance, s
Total;            0.00 ;all ranks
  MIN;            0.00 ;Rank 0
  MAX;            0.00 ;Rank 0
  AVG;            0.00 ;

MPI Hotspot 1 - MPI_Init, s
Total;            0.04 ;all ranks
  MIN;            0.04 ;Rank 0
  MAX;            0.04 ;Rank 0
  AVG;            0.04 ;

MPI Hotspot 1 - MPI_Init, % of Elapsed Time
  MIN;            0.02 ;Rank 0
  MAX;            0.02 ;Rank 0
  AVG;            0.02 ;

MPI Hotspot 2 - MPI_Finalize, s
Total;            0.01 ;all ranks
  MIN;            0.01 ;Rank 0
  MAX;            0.01 ;Rank 0
  AVG;            0.01 ;

MPI Hotspot 2 - MPI_Finalize, % of Elapsed Time
  MIN;            0.00 ;Rank 0
  MAX;            0.00 ;Rank 0
  AVG;            0.00 ;

MPI Hotspot 3 - MPI_Alltoallv, s
Total;            0.01 ;all ranks
  MIN;            0.01 ;Rank 0
  MAX;            0.01 ;Rank 0
  AVG;            0.01 ;

MPI Hotspot 3 - MPI_Alltoallv, % of Elapsed Time
  MIN;            0.00 ;Rank 0
  MAX;            0.00 ;Rank 0
  AVG;            0.00 ;

MPI Hotspot 4 - MPI_Allreduce, s
Total;            0.00 ;all ranks
  MIN;            0.00 ;Rank 0
  MAX;            0.00 ;Rank 0
  AVG;            0.00 ;

MPI Hotspot 4 - MPI_Allreduce, % of Elapsed Time
  MIN;            0.00 ;Rank 0
  MAX;            0.00 ;Rank 0
  AVG;            0.00 ;

MPI Hotspot 5 - MPI_Comm_free, s
Total;            0.00 ;all ranks
  MIN;            0.00 ;Rank 0
  MAX;            0.00 ;Rank 0
  AVG;            0.00 ;

MPI Hotspot 5 - MPI_Comm_free, % of Elapsed Time
  MIN;            0.00 ;Rank 0
  MAX;            0.00 ;Rank 0
  AVG;            0.00 ;

OpenMP threads number, per Process
  MIN;            1.00 ;Rank 0
  MAX;            1.00 ;Rank 0
  AVG;            1.00 ;

Disk I/O Bound, s
Total;            0.00 ;all ranks
  MIN;            0.00 ;Rank 0
  MAX;            0.00 ;Rank 0
  AVG;            0.00 ;

Resident Memory Usage per Rank, MB
Total;         2815.00 ;all ranks
  MIN;         2815.00 ;Rank 0
  MAX;         2815.00 ;Rank 0
  AVG;         2815.00 ;

Resident Memory Usage per Node, MB
Total;         2815.00 ;all nodes
  MIN;         2815.00 ;Node instance-20220421-1624
  MAX;         2815.00 ;Node instance-20220421-1624
  AVG;         2815.00 ;

Virtual Memory Usage per Rank, MB
Total;        10169.00 ;all ranks
  MIN;        10169.00 ;Rank 0
  MAX;        10169.00 ;Rank 0
  AVG;        10169.00 ;

Virtual Memory Usage per Node, MB
Total;        10169.00 ;all nodes
  MIN;        10169.00 ;Node instance-20220421-1624
  MAX;        10169.00 ;Node instance-20220421-1624
  AVG;        10169.00 ;

| MPI Time per Rank for all Ranks
Rank;Elapsed Time(sec);    MPI;Time(sec);    MPI;Time(%);Imbalance(sec);Imbalance(%)
  0000 ;          182.87;            0.05;           0.03;            0.00;           0.00
| TOTAL;          182.87;            0.05;           0.03;            0.00;           0.00
| AVG  ;          182.87;            0.05;           0.03;            0.00;           0.00

| Number of ranks = 1

|#########################################################
| RANK 0
|#########################################################
Elapsed Time;182.87;sec
MPI Time;0.05;sec;0.03%
MPI Imbalance;0.00;sec;0.00%

Function;Time(sec);Time(%);Volume(MB);Volume(%);Calls;AvrMsgSize(B)
            MPI_Init;            0.04;            0.02;             N/A;             N/A;               1;             N/A
        MPI_Finalize;            0.01;            0.00;             N/A;             N/A;               1;             N/A
       MPI_Alltoallv;            0.01;            0.00;             N/A;             N/A;              21;             N/A
       MPI_Allreduce;            0.00;            0.00;             N/A;             N/A;             890;             N/A
       MPI_Comm_free;            0.00;            0.00;             N/A;             N/A;               9;             N/A
          MPI_Reduce;            0.00;            0.00;             N/A;             N/A;               3;             N/A
           MPI_Bcast;            0.00;            0.00;             N/A;             N/A;             864;             N/A
        MPI_Comm_dup;            0.00;            0.00;             N/A;             N/A;               7;             N/A
     MPI_Cart_create;            0.00;            0.00;             N/A;             N/A;               2;             N/A
        MPI_Alltoall;            0.00;            0.00;             N/A;             N/A;              21;             N/A
         MPI_Barrier;            0.00;            0.00;             N/A;             N/A;               9;             N/A
       MPI_Allgather;            0.00;            0.00;             N/A;             N/A;              14;             N/A
       MPI_Comm_rank;            0.00;            0.00;             N/A;             N/A;              26;             N/A
